"","chimp","ageDays","sex","wbc","rbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","globulin","triglycerides","ggtp","osmolal"
"368","David",22.0821917808219,0,5600,5.05,43.8,13.9,86.7,27.5,31.7,0.04,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","Debbie",6.15068493150685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,20,0.8,6.6,3.6,0.4,455,29,12,195,9.3,5.2,140,4.1,102,3,69,NA,NA
"372","Debbie",7.15068493150685,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,17,0.9,7,3.6,0.4,351,26,13,199,9.7,5.6,141,4.2,102,3.4,86,NA,NA
"373","Debbie",8,1,7400,4.95,39,12.7,78.8,25.7,32.5,0.043,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Debbie",9.10958904109589,1,7600,4.69,37.2,12.6,79.3,26.9,33.9,0.043,0,3,95,19,1.3,7,3.8,0.2,144,24,14,201,9.5,4.3,132,3.7,98,3.2,77,22,264
"375","Debbie",10.3945205479452,1,10800,4.73,37.2,12.1,78.6,25.6,32.5,0.022,1,0,104,16,1.3,7.1,3.8,0.2,84,24,15,202,9.2,3,141,4,99,3.3,123,23,281
"376","Dobbs",37.5041095890411,0,11900,5.37,43.3,14.4,80.6,26.8,33.3,0.03,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Dobbs",37.5068493150685,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,14,1,7.1,3,0.1,85,37,26,166,8.2,3.7,139,3,97,4.1,45,26,275
"378","Dobbs",38.5013698630137,0,9400,5.86,46.1,15.8,78.7,27,34.3,0.014,1,0,109,17,1.4,8.4,3.2,0.2,110,71,37,212,9.1,3.5,141,3.3,98,5.2,59,76,281
"379","Dobbs",39.4383561643836,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,18,1.3,8.1,3.3,0.2,103,63,51,239,8.5,4.2,137,3,89,4.8,85,42,272
"380","Dobbs",36.2109589041096,0,9000,5.44,43.6,13.8,80.1,25.4,31.7,0.046,1,1,144,16,12,7.3,3,0.4,74,36,22,158,8.6,2.4,138,3.1,98,4.3,57,NA,NA
"381","Dona",6.8986301369863,1,7700,5.04,40.5,13.3,80.4,26.4,32.8,0.06,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","Dona",7.86849315068493,1,11300,5,40.9,13.4,81.8,26.8,32.8,0.035,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Dona",8.87123287671233,1,13000,4.86,40.7,13.7,83.7,28.2,33.7,0.057,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Dona",10.9917808219178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,11,0.9,7.3,4.1,0.2,134,31,15,200,9.7,3.8,138,4.4,101,3.2,152,19,274
"385","Dona",12.2082191780822,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,10,0.9,7.4,3.8,0.1,103,23,12,215,9.6,3.6,142,3.6,99,3.6,122,30,279
"386","Dona",13.2438356164384,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,9,0.8,7.7,4.2,0.1,121,26,15,188,9.2,2.4,140,4,101,3.5,111,28,376
"387","Dona",14.413698630137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,11,0.9,7.6,4.1,0.2,126,29,19,179,9.8,4,141,4.1,102,3.5,169,48,279
"388","Dona",18.1095890410959,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Dona",20.0849315068493,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Donald",9.4986301369863,0,15300,5.2,43.4,14.9,83.5,28.7,34.3,0.006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Donald",11.5698630136986,0,8400,5.12,43.1,14.3,84.2,27.9,33.2,0.037,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Donald",13.6630136986301,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,11,1.4,7.6,4,0.2,105,29,26,195,8.9,3.5,143,3.9,98,3.6,108,24,283
"393","Donald",14.613698630137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,12,1,7.9,3.8,0.3,121,28,36,197,9,2.8,143,3.8,104,4.1,129,17,283
"394","Donald",10.6027397260274,0,10300,5.55,46.6,15.8,84,28.5,33.9,0.021,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Donald",16.2082191780822,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,11,0.8,7.7,3.6,0.2,68,21,20,161,10,2.3,137,4,104,4.1,81,21,271
"396","Donald",15.6547945205479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,13,1.1,8.6,3.9,0.2,86,27,28,224,9.2,2.2,142,3.9,101,4.7,112,27,282
"397","Dover",5.01643835616438,1,9200,5.71,43,14.4,75.3,25.2,33.5,0.064,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Dover",4.6,1,6400,5.42,41.9,14,77.3,25.8,33.4,0.039,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Dover",6.07123287671233,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,14,0.9,6.4,3.8,0.2,909,51,22,200,10.2,4.2,138,3.5,99,2.6,83,24,274
"400","Dover",3.61917808219178,1,13400,5.54,39.8,13.8,71.8,24.9,34.7,0.025,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Dover",9.23561643835616,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,16,1.1,7.9,1.8,0.4,278,61,33,156,10.2,2.8,139,4.6,112,6.1,112,32,277
"402","Dover",8.18356164383562,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,14,1.2,7.5,4,0.2,568,39,17,143,9.9,3.2,146,4.2,105,3.5,107,22,288
"403","Dover",7.06575342465753,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19,0.8,6.9,3.9,0.2,782,43,22,173,10.3,3.9,141,4,102,3,57,17,282
"404","Drew",6.64109589041096,1,7700,5.29,42.7,14.1,80.7,26.7,33,0.074,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Drew",11.172602739726,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,13,1,7.2,4,0.3,93,43,39,187,9.2,3.2,144,3.7,102,3.2,40,20,283
"406","Drew",7.3972602739726,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,13,1.1,7.4,3.7,0.1,527,49,29,198,8.7,4,135,3.5,97,3.7,59,19,269
"407","Drew",9.4054794520548,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,11,1.3,7.6,4,0.3,192,42,36,185,9.4,4,140,3.8,100,3.6,107,23,276
"408","Drew",10.3506849315068,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,12,1.2,7.4,4.2,0.3,126,36,44,205,8.9,3.7,143,3.8,102,3.2,66,19,283
"409","Drew",5.53698630136986,1,6700,4.57,37,12.8,81,28,34.6,0.057,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Drew",17.4082191780822,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Drew",17.9616438356164,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Drew",18.2904109589041,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Drew",4.53972602739726,1,14700,5.55,44.3,15.3,79.8,27.6,34.5,0.04,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Duff",12.9753424657534,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,9,0.9,7.5,4,0.4,120,33,32,133,9.4,3.1,141,3.6,102,3.5,102,27,277
"416","Duff",14.2027397260274,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,11,0.9,7.4,3.9,0.2,65,43,29,155,9.6,5.2,142,3.3,99,3.5,51,32,278
"417","Duff",17.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Duff",12.4082191780822,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,10,1.2,7,3.7,0.2,119,28,22,151,9.7,3.4,140,3.8,101,3.3,55,23,275
"419","Duff",7.01917808219178,1,7900,5.77,45.3,14.9,78.5,25.8,32.9,0.079,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Duff",7.60547945205479,1,23200,4.93,40.1,12.7,81.3,25.8,31.7,0.068,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Duff",8.72602739726027,1,13200,5.59,46.5,15.5,83.2,27.7,33.3,0.057,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Duff",20.3095890410959,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Duff",11.1561643835616,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,11,1.3,7.4,3.6,0.2,156,45,41,155,10.6,3.9,136,4,100,3.8,48,36,268
"426","Duncan",29.372602739726,1,6500,5.68,46.2,14.2,81.3,25,30.7,0.075,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Duncan",37.2739726027397,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,11,1.2,7.9,3.6,0.2,77,40,28,204,10.3,2.9,145,3.5,98,4.3,167,23,288
"428","Duncan",31.2575342465753,1,11200,5.3,44.5,14.5,84,27.4,32.6,0.041,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Duncan",34.2876712328767,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,13,1.2,7.8,3.6,0.3,88,33,23,177,9,1.5,141,3.7,99,4.2,155,21,278
"430","Duncan",35.2465753424658,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,15,1.1,7.7,3.5,0.2,69,32,25,185,9.1,2.6,142,3.6,99,4.2,160,20,281
"431","Duncan",30.2575342465753,1,6100,5.49,45.6,14.5,83.1,26.4,31.8,0.057,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Duncan",36.2931506849315,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,12,1,75,3.5,0.2,72,46,22,184,9.5,2.9,139,3.5,98,4,146,16,275
"433","Edwina",7.4986301369863,1,16300,5.35,43.3,14.5,80.9,27.1,33.5,0.02,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Edwina",8.4054794520548,1,17100,5.07,42.8,13.8,84.4,27.2,32.2,0.058,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Edwina",9.47397260273973,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,19,1.2,7.4,3.9,0.3,240,29,21,220,10.3,2.3,140,4.4,102,3.5,139,19,280
"436","Edwina",6.46575342465753,1,10900,5.43,43.2,14.5,79.6,26.7,33.6,0.054,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Edwina",18.5315068493151,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Edwina",10.4109589041096,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,10,1.1,7.2,3.4,0.3,182,26,16,221,9.8,3.1,137,3.8,99,3.8,183,17,270
"439","Edwina",11.627397260274,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,18,1.1,7.3,3.4,0.3,129,32,20,233,9.5,2.8,137,3.9,101,3.9,104,22,274
"441","Edwina",19.8356164383562,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Edwina",20.4493150684931,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Edwina",12.6219178082192,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,14,1,7,3.2,0.1,178,29,26,231,10.2,3.5,139,3.9,100,3.8,137,31,276
"444","Ellie",26.7753424657534,0,15600,5.35,44.6,14.7,83.4,27.4,33,0.065,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Ellie",32.2438356164384,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,8,1,7.1,3.4,0.2,71,28,16,162,19.2,1.9,142,3.5,104,3.7,197,37,280
"446","Ellie",28.8109589041096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,11,1.1,7.5,3.6,0.2,64,24,17,202,9.4,2.9,139,3.6,96,3.9,105,29,275
"447","Ellie",29.8684931506849,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,7,1.1,7.4,3.6,0.1,61,26,20,174,9.3,1.1,139,2.8,106,3.8,170,38,272
"448","Ellie",30.8383561643836,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,8,1,7.4,3.6,0.2,84,26,24,170,8.5,3.4,141,3,102,3.8,218,29,276
"449","Ellie",25.7424657534247,0,15500,5.2,43.7,14.3,84,27.5,32.7,0.038,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Ellie",24.613698630137,0,18000,5.92,84.4,16,81.8,27,33.1,0.05,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Elvira",22.6301369863014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Elvira",10.5698630136986,0,14100,5.31,41.8,14.5,78.7,27.3,34.7,0.026,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Elvira",21.7506849315069,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Elvira",8.57808219178082,0,15400,5.48,42.8,14.4,78.1,26.3,33.6,0.043,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Elvira",9.50958904109589,0,6700,5.16,41,14.1,79.5,27.3,34.4,0.049,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Elvira",14.6164383561644,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,6,1,7.3,3.9,0.2,81,19,9,153,9.1,2.7,139,3.2,103,3.4,71,19,272
"458","Elvira",11.5342465753425,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,8,1.1,7,3.9,0.1,124,21,12,131,18.6,2.4,135,3.8,102,3.1,78,20,266
"459","Elvira",12.586301369863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,10,1,7.3,3.9,0.1,82,20,14,185,9.9,2.7,137,4.1,98,3.4,70,16,271
"460","Elvira",13.6191780821918,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,8,0.8,7.1,3.6,0.2,68,17,12,186,9.6,3.4,140,4,104,3.5,111,21,276
"461","Elvira",20.4328767123288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Elwood",7.61369863013699,0,8700,5.43,45.6,15.3,84,28.2,33.6,0.036,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Elwood",8.57534246575342,0,9400,5.13,42.7,14.5,83.2,28.3,34,0.032,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Elwood",11.5835616438356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,7,0.9,7.3,4.6,0.3,57,37,29,117,9.8,1.1,147,2.8,99,2.7,103,24,288
"466","Elwood",12.6054794520548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,6,0.9,6.7,4.1,0.6,47,33,23,105,9.1,1.7,144,2.8,105,2.6,62,14,283
"468","Elwood",9.61369863013699,0,8200,5.44,46.2,15.1,84.9,27.8,32.7,0.03,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Elwood",17.627397260274,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Elwood",19.5808219178082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Elwood",13.5780821917808,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,7,1,7.3,4.5,0.4,56,37,30,105,9.3,1.7,149,2.7,104,2.8,69,14,291
"472","Elwood",14.558904109589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,8,1.1,6.7,4.1,0.3,49,40,19,110,19.5,2.4,143,3,103,2.6,71,14,281
"473","Elwood",20.7561643835616,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Ericka",23.3698630136986,1,9900,4.86,35.8,11.1,73.7,22.8,31,0.027,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Ericka",24.3616438356164,1,13000,5.27,39.4,12.8,74.8,24.3,32.5,0.014,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Ericka",25.3260273972603,1,14200,5.33,41.7,13.4,78.2,25.1,32.1,0.013,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Ericka",30.2712328767123,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,17,1.1,7.8,3.1,0.1,93,32,18,169,10.2,2.7,141,4.1,103,4.7,90,35,282
"478","Ericka",27.4027397260274,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,11,1.1,8.4,3.1,0.1,68,36,40,245,9.7,1.5,141,3.8,102,5.3,134,18,278
"479","Ericka",28.4739726027397,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,14,1.1,8,3,0.1,75,25,22,192,9.6,2.4,143,3.5,105,5,108,16,282
"481","Ericka",34.6054794520548,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Ericka",37.3479452054795,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Ericka",29.3397260273973,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,12,1,8.4,3.3,0.1,82,33,34,239,9.3,2.3,142,4.2,103,5.1,144,27,281
"484","Evelyne",7.67123287671233,0,11100,4.35,37.9,12.2,87.1,28,32.2,0.05,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Evelyne",18.0630136986301,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Evelyne",11.1287671232877,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,7,0.6,6.9,3.8,0.2,282,21,13,198,10.1,3.6,138,3.8,100,3.1,68,24,272
"487","Evelyne",11.9534246575342,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,9,0.7,7.6,3.9,0.2,242,23,18,204,10.1,3.1,139,3.4,102,3.7,89,21,276
"488","Evelyne",12.9424657534247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,10,1,6.5,3.9,0.3,286,24,15,182,10.5,2.4,142,4,102,2.6,52,20,280
"489","Evelyne",6.92602739726027,0,12200,5.41,42,14,77.6,25.9,33.3,0.035,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","Evelyne",18.8958904109589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","Evelyne",20.0684931506849,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","Evelyne",5.94520547945205,0,12800,5.21,40.5,13.6,77.7,26.1,33.6,0.024,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Faye",10.4931506849315,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,12,1,7.9,4.1,0.2,190,24,39,214,10.5,3.9,135,3.2,103,3.8,63,15,267
"496","Faye",11.5479452054795,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,6,0.8,7.6,4,0.2,152,27,21,202,9.8,1.7,140,3.4,104,3.6,176,17,275
"497","Faye",16.2520547945205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Faye",9.66849315068493,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,9,0.8,6.6,3.5,0.1,198,22,17,171,9,2.4,140,3.5,105,3.1,65,12,279
"499","Faye",4.45479452054794,0,5500,4.76,40.1,12.8,84.2,26.9,31.9,0.052,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","Faye",5.47397260273973,0,10700,5.13,41,13.6,79.9,26.5,33.2,0.049,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","Faye",6.56438356164384,0,12000,5.4,44,14.8,81.5,27.4,33.6,0.042,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","Faye",17.4986301369863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","Faye",8.82465753424658,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,12,1,7.3,3.7,0.2,317,26,23,208,9.8,1.8,140,3.5,101,3.6,73,22,279
"504","Faye",19.0547945205479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","Fiona",7.88219178082192,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,10,0.9,7.1,3.6,0.1,459,45,22,181,9.3,4.4,141,3.6,102,3.5,95,8,279
"508","Fiona",8.77534246575343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,11,1.1,7.1,4,0.2,457,60,18,191,9.4,4.4,137,3.3,105,3.1,102,21,272
"509","Fiona",14.4931506849315,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","Fiona",15.7643835616438,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","Fiona",17.0109589041096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","Fiona",3.81095890410959,0,12300,5.16,36.8,12.6,71.3,24.4,34.2,0.051,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","Fiona",4.86849315068493,0,12300,5.25,38.6,12.8,73.5,24.4,33.2,0.057,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","Fiona",5.92328767123288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,11,1,7.1,3.7,0.1,624,50,22,216,19.4,4.9,134,3.6,97,3.4,79,30,267
